,fromNode,toNode,weight,direction,fromAltName,toAltName
156,ABCB4,GDPD3,0.622808745353444,undirected,ABCB4,GDPD3
157,ABCB4,GIT2,0.84686068045382,undirected,ABCB4,GIT2
158,ABCB4,GLT8D1,0.947738726569929,undirected,ABCB4,GLT8D1
159,ABCB4,GMIP,-0.644552783767435,undirected,ABCB4,GMIP
160,ABCB4,GOLPH3L,0.853425979096265,undirected,ABCB4,GOLPH3L
161,ABCB4,GPR135,0.613275014454046,undirected,ABCB4,GPR135
162,ABCB4,GRM3,-0.583385188200872,undirected,ABCB4,GRM3
163,ABCB4,HSPD1,0.761919635528701,undirected,ABCB4,HSPD1
164,ABCB4,HVCN1,0.734414763972688,undirected,ABCB4,HVCN1
165,ABCB4,HYDIN,0.828358201727438,undirected,ABCB4,HYDIN
166,ABCB4,IFT81,0.630210838155976,undirected,ABCB4,IFT81
167,ABCB4,IL20RB,0.864101693041774,undirected,ABCB4,IL20RB
168,ABCB4,IMMP2L,0.881851546816691,undirected,ABCB4,IMMP2L
169,ABCB4,INHBC,0.81778968357675,undirected,ABCB4,INHBC
170,ABCB4,INO80E,-0.515141760760676,undirected,ABCB4,INO80E
171,ABCB4,ITIH1,0.552989483035086,undirected,ABCB4,ITIH1
172,ABCB4,JKAMP,0.779611353985713,undirected,ABCB4,JKAMP
173,ABCB4,KCNJ13,0.841155647715544,undirected,ABCB4,KCNJ13
174,ABCB4,KCTD13,-0.821413389695848,undirected,ABCB4,KCTD13
175,ABCB4,KDM3B,0.772930287623232,undirected,ABCB4,KDM3B
176,ABCB4,KIF20A,0.724398896337845,undirected,ABCB4,KIF20A
177,ABCB4,LCAT,0.781539046425387,undirected,ABCB4,LCAT
178,ABCB4,LRP4,0.746827803464807,undirected,ABCB4,LRP4
179,ABCB4,LRRC48,0.61491595333069,undirected,ABCB4,LRRC48
180,ABCB4,MARS2,-0.568242130136395,undirected,ABCB4,MARS2
181,ABCB4,MCHR1,0.591516580197533,undirected,ABCB4,MCHR1
182,ABCB4,MCL1,0.537375636842971,undirected,ABCB4,MCL1
183,ABCB4,MED19,-0.775054818954825,undirected,ABCB4,MED19
184,ABCB4,MEI1,0.543641864686585,undirected,ABCB4,MEI1
185,ABCB4,MFAP4,0.865471271642742,undirected,ABCB4,MFAP4
186,ABCB4,MGAT3,-0.783771553078248,undirected,ABCB4,MGAT3
187,ABCB4,MKL1,-0.759783067476549,undirected,ABCB4,MKL1
188,ABCB4,MMP16,-0.525451395776729,undirected,ABCB4,MMP16
189,ABCB4,MPHOSPH9,0.880363633281842,undirected,ABCB4,MPHOSPH9
190,ABCB4,MPL,0.714065347977651,undirected,ABCB4,MPL
191,ABCB4,MRPS14,0.859399171917622,undirected,ABCB4,MRPS14
192,ABCB4,MYO1A,0.681159845072152,undirected,ABCB4,MYO1A
193,ABCB4,NAGA,0.931969592384689,undirected,ABCB4,NAGA
