"","geneIDs","moduleColor"
"142","DUSP11","blue"
"144","EDC4","blue"
"145","EFTUD1","blue"
"146","EGR4","blue"
"147","EIF5","blue"
"148","ELOVL1","blue"
"149","ELOVL7","blue"
"150","EMB","blue"
"152","ENSA","blue"
"153","EP300","blue"
"155","EPN2","blue"
"156","ERCC8","blue"
"157","ERI1","blue"
"158","ESAM","blue"
"159","ESRP2","blue"
"160","ETF1","blue"
"161","F2","blue"
"162","FAM109B","blue"
"163","FAM154B","blue"
"164","FAM53C","blue"
"165","FAM57B","blue"
"166","FAM63A","blue"
"167","FANCL","blue"
"168","FGFR1","blue"
"169","FHIT","blue"
"170","FOXP1","blue"
"171","FSD2","blue"
"172","FSHB","blue"
"174","FXR1","blue"
"175","GABBR2","blue"
"176","GABPB2","blue"
"177","GATAD2A","blue"
"178","GDPD3","blue"
"179","GFRA3","blue"
"180","GIGYF2","blue"
"181","GIT2","blue"
"182","GLT8D1","blue"
"183","GLYCTK","blue"
"184","GMIP","blue"
"186","GOLPH3L","blue"
"187","GPM6A","blue"
"188","GPN3","blue"
"190","GPR52","blue"
"191","GRAP","blue"
"192","GRIA1","blue"
"194","GRM3","blue"
"195","HAPLN4","blue"
"196","HARBI1","blue"
"198","HIP1R","blue"
"199","HIRIP3","blue"
"200","HOMER2","blue"
"202","HSPA9","blue"
"203","HSPD1","blue"
"204","HSPE1","blue"
"205","HVCN1","blue"
"206","HYDIN","blue"
"207","HYI","blue"
"208","IFT81","blue"
"209","IGSF9B","blue"
"210","IL20RB","blue"
"211","IMMP2L","blue"
"212","INA","blue"
"213","INHBC","blue"
"214","INO80E","blue"
"215","INPP4B","blue"
"216","IPO13","blue"
"217","IREB2","blue"
"218","ITIH1","blue"
"219","ITIH3","blue"
"220","ITIH4","blue"
"221","JKAMP","blue"
"222","KAT5","blue"
"223","KCNJ13","blue"
"224","KCTD13","blue"
"225","KDM3B","blue"
"226","KDM4A","blue"
"227","KIAA1324L","blue"
"228","KIF20A","blue"
"229","KIF21A","blue"
"230","KLC1","blue"
"231","KLHL20","blue"
"232","L3MBTL2","blue"
"233","LCAT","blue"
"234","LETM2","blue"
"235","LHFPL3","blue"
"236","LPAR2","blue"
"237","LRP1","blue"
"238","LRP4","blue"
"239","LRRC48","blue"
"241","LSM1","blue"
"242","MAD1L1","blue"
"243","MADD","blue"
"244","MAP3K11","blue"
"245","MAPK3","blue"
"246","MAPK7","blue"
"247","MARK3","blue"
"248","MARS2","blue"
"249","MAU2","blue"
"250","MCHR1","blue"
"251","MCL1","blue"
"252","ME1","blue"
"253","MED19","blue"
"254","MED8","blue"
"256","MEI1","blue"
"257","MFAP4","blue"
"258","MFHAS1","blue"
"259","MGAT3","blue"
"261","MLLT11","blue"
"262","MMP16","blue"
"263","MOB4","blue"
"264","MPHOSPH9","blue"
"266","MPP6","blue"
"267","MPPED2","blue"
"268","MRPS14","blue"
"270","MSL2","blue"
